seletor,modelo,n_features,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class
ExtraTrees,GradientBoosting,15,0.975112285336856,0.9754992088371812,0.9750928828494559,0.07355942856544816,"[96, 375]","[375, 96]"
ExtraTrees,RandomForest,15,0.9745838837516513,0.9751133344472857,0.9745597322061268,0.07198075199442258,"[78, 403]","[403, 78]"
ExtraTrees,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13403088168879077,"[129, 357]","[357, 129]"
ExtraTrees,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37647718071036934,"[37, 1404]","[1404, 37]"
ExtraTrees,QDA,15,0.9230647291941876,0.9315353638090984,0.922457475688747,0.8778341431150295,"[53, 1403]","[1403, 53]"
ExtraTrees,GaussianNB,15,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.3431607753325756,"[105, 1400]","[1400, 105]"
Fisher,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454,"[108, 498]","[498, 108]"
Fisher,GradientBoosting,15,0.9677146631439895,0.9685325547323321,0.9676732053220652,0.09925755221306377,"[102, 509]","[509, 102]"
Fisher,RandomForest,15,0.9676089828269485,0.968434849732652,0.967567110139083,0.0992378083779733,"[102, 511]","[511, 102]"
Fisher,LDA,15,0.9209511228533686,0.9300902642763974,0.9202848670700556,0.3693954160504253,"[46, 1450]","[1450, 46]"
Fisher,GaussianNB,15,0.9205284015852048,0.9282143581817669,0.9199438002083518,2.187548775366937,"[105, 1399]","[1399, 105]"
Fisher,QDA,15,0.9197357992073977,0.9291575633785756,0.9190405758490052,0.666536516472517,"[46, 1473]","[1473, 46]"
LassoCV,DecisionTree,15,0.9679788639365918,0.9687204328135551,0.9679403309371366,0.10993647924131829,"[109, 497]","[497, 109]"
LassoCV,GradientBoosting,15,0.9678203434610304,0.9685974885557266,0.9677803971035791,0.09921613046716746,"[106, 503]","[503, 106]"
LassoCV,RandomForest,15,0.9676089828269485,0.968426503778979,0.9675673893002061,0.09919242415513835,"[103, 510]","[510, 103]"
LassoCV,LDA,15,0.9234874504623514,0.932022308870447,0.9228805447037554,0.3769637124193488,"[47, 1401]","[1401, 47]"
LassoCV,QDA,15,0.9229062087186262,0.9312542920097229,0.9223044531985555,0.7181021194245311,"[59, 1400]","[1400, 59]"
LassoCV,GaussianNB,15,0.9205284015852048,0.9282143581817669,0.9199438002083518,2.0668384688768815,"[105, 1399]","[1399, 105]"
LinearSVC_L1,GradientBoosting,15,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.07360720587685798,"[97, 375]","[375, 97]"
LinearSVC_L1,RandomForest,15,0.9744782034346103,0.9750141470760071,0.9744537551921626,0.07172795612525805,"[78, 405]","[405, 78]"
LinearSVC_L1,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13403088168879077,"[129, 357]","[357, 129]"
LinearSVC_L1,LDA,15,0.9236459709379128,0.9324122281374386,0.9230275656639161,0.37645073224786374,"[37, 1408]","[1408, 37]"
LinearSVC_L1,QDA,15,0.9229590488771466,0.9314004918875015,0.9223524632195333,0.722658216614702,"[55, 1403]","[1403, 55]"
LinearSVC_L1,GaussianNB,15,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.2017886852768327,"[105, 1400]","[1400, 105]"
LowVariance,GradientBoosting,12,0.9750594451783355,0.9754433894205786,0.9750400907082356,0.0736174831123693,"[97, 375]","[375, 97]"
LowVariance,RandomForest,12,0.9744253632760899,0.9749577905104485,0.974400962828963,0.07091914325912539,"[79, 405]","[405, 79]"
LowVariance,DecisionTree,12,0.9742668428005284,0.9745172887031412,0.9742513751336283,0.13406750769568956,"[130, 357]","[357, 130]"
LowVariance,LDA,12,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.37635528002066015,"[37, 1404]","[1404, 37]"
LowVariance,QDA,12,0.9229590488771466,0.9314004918875015,0.9223524632195333,0.7226842584359289,"[55, 1403]","[1403, 55]"
LowVariance,GaussianNB,12,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.524205839176489,"[105, 1400]","[1400, 105]"
Pearson,DecisionTree,15,0.9679788639365918,0.9687283828560659,0.9679400618557904,0.10653698515418454,"[108, 498]","[498, 108]"
Pearson,GradientBoosting,15,0.9677146631439895,0.9685325547323321,0.9676732053220652,0.09925755221306377,"[102, 509]","[509, 102]"
Pearson,RandomForest,15,0.9676089828269485,0.968434849732652,0.967567110139083,0.0992378083779733,"[102, 511]","[511, 102]"
Pearson,LDA,15,0.9209511228533686,0.9300902642763974,0.9202848670700556,0.3693954160504253,"[46, 1450]","[1450, 46]"
Pearson,GaussianNB,15,0.9205284015852048,0.9282143581817669,0.9199438002083518,2.187548775366937,"[105, 1399]","[1399, 105]"
Pearson,QDA,15,0.9197357992073977,0.9291575633785756,0.9190405758490052,0.666536516472517,"[46, 1473]","[1473, 46]"
mRMR,GradientBoosting,15,0.9750066050198151,0.9753875818427458,0.9749872988039685,0.07362571858660232,"[98, 375]","[375, 98]"
mRMR,RandomForest,15,0.9744253632760899,0.9749443652764094,0.9744013550348287,0.07186155168474388,"[81, 403]","[403, 81]"
mRMR,DecisionTree,15,0.9743196829590489,0.9745725271497276,0.9743041625825434,0.13589516244636382,"[129, 357]","[357, 129]"
mRMR,LDA,15,0.9238573315719947,0.9325756168824612,0.9232436432040473,0.3766536168957218,"[37, 1404]","[1404, 37]"
mRMR,QDA,15,0.9230647291941876,0.9315353638090984,0.922457475688747,0.7751350183932532,"[53, 1403]","[1403, 53]"
mRMR,GaussianNB,15,0.9204755614266843,0.9281727204632788,0.9198898217812914,2.3958337402419976,"[105, 1400]","[1400, 105]"
